,LotFrontage,OverallQual,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,1stFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice
292,60,5,2008,178,476,1148,0,1,1,3,8,1,1,281,0,0,1,2009,131000
293,0,7,1994,179,0,1468,1,2,1,3,9,1,2,539,0,250,3,2006,235000
294,80,6,1953,318,131,1644,1,1,0,3,7,2,2,418,110,0,10,2009,167000
295,37,6,1984,181,184,1003,1,1,0,3,6,0,2,588,120,0,3,2006,142500
296,75,5,1950,182,490,910,0,1,1,4,6,0,1,282,289,0,6,2007,152000
297,66,7,1998,199,326,975,0,2,1,3,7,1,2,576,0,10,6,2007,239000
298,90,6,1968,38,143,1041,0,1,2,3,7,1,2,539,224,0,6,2007,175000
299,80,6,2004,8,1092,1152,0,1,0,3,6,1,1,300,0,36,8,2009,158500
300,90,5,1953,183,324,1336,1,1,0,2,5,2,1,375,0,0,6,2006,157000
301,66,8,1999,184,747,1210,0,2,1,4,9,1,2,683,208,50,5,2007,267000
302,118,7,2002,8,1541,1541,0,2,0,3,6,1,3,843,468,81,1,2006,205000
303,70,5,1972,266,0,894,1,1,0,3,5,0,2,552,256,0,7,2006,149900
304,87,7,2002,8,1470,1675,0,3,0,3,10,1,3,870,302,0,5,2008,295000
305,80,8,2005,186,536,2000,1,2,0,3,8,0,3,888,168,0,7,2007,305900
306,116,7,1991,371,0,1122,1,2,1,4,8,1,3,746,127,44,6,2007,225000
307,0,6,1950,8,319,1035,0,1,0,3,6,0,0,0,0,144,3,2008,89500
308,0,4,1950,188,599,861,0,1,0,1,4,0,2,539,158,0,3,2009,82500
309,90,9,2004,602,622,1944,1,2,0,3,8,3,3,708,208,175,11,2006,360000
310,0,6,1994,190,179,697,0,2,1,3,6,1,2,420,190,63,5,2006,165600
311,50,6,2002,96,292,972,1,1,0,2,5,1,1,240,0,0,5,2009,132000
312,65,5,1950,92,286,793,1,1,0,3,5,1,2,410,0,0,5,2006,119900
313,150,7,1965,396,80,2036,2,2,0,3,8,2,2,513,0,0,6,2009,375000
314,60,7,1990,297,712,832,0,1,1,3,6,1,2,546,0,0,8,2006,178000
315,71,7,2005,585,291,716,1,2,1,3,6,1,2,432,100,51,7,2009,188500
316,94,7,1980,374,153,1153,1,2,1,4,10,1,2,484,288,195,8,2009,260000
317,75,8,2006,8,1088,1088,0,2,1,3,8,1,3,1025,208,46,12,2007,270000
318,90,7,1993,592,360,1372,1,2,1,4,9,1,3,656,340,60,4,2009,260000
319,0,7,1980,127,336,1472,1,2,0,3,6,2,2,588,233,48,6,2009,187500
320,111,9,2006,8,1249,1249,0,3,1,4,9,0,3,840,240,154,9,2006,342643
321,99,8,2004,195,166,1136,1,2,1,4,10,1,3,872,184,154,6,2007,354000
322,86,7,1987,435,0,1553,1,2,1,4,8,1,2,576,201,96,8,2007,301000
323,49,3,2005,426,906,1163,1,1,0,3,6,0,1,220,142,98,7,2006,126175
324,96,7,2007,8,710,1898,0,2,1,5,11,1,2,564,240,0,6,2010,242000
325,50,5,1950,345,604,803,0,1,0,2,5,0,2,360,0,0,12,2007,87000
326,32,8,1993,198,100,1719,2,1,1,1,6,2,2,473,122,30,5,2008,324000
327,80,6,1960,540,818,1383,0,1,1,3,7,0,1,292,0,45,4,2006,145250
328,0,6,1994,8,844,1445,0,2,0,5,10,0,2,441,0,60,7,2009,214500
329,60,5,1950,8,596,596,0,1,0,3,6,0,1,189,0,0,7,2009,78000
330,0,5,1964,199,1424,1728,0,2,0,6,10,0,1,352,155,0,11,2007,119000
331,70,5,1992,200,210,1056,1,1,0,3,6,0,1,308,0,0,8,2007,139000
332,85,8,2004,201,1603,1629,1,2,0,3,7,1,3,880,0,0,10,2009,284000
333,59,7,2004,202,638,1358,1,2,0,2,6,1,2,484,192,30,7,2008,207000
334,59,6,1998,615,115,943,1,2,1,3,7,2,2,472,100,38,7,2008,192000
335,0,5,1965,617,103,1619,2,2,0,3,7,2,2,529,670,0,8,2008,228950
336,86,9,2006,617,673,1922,1,2,0,3,8,1,3,676,178,51,7,2007,377426
337,70,7,2003,205,726,1536,1,2,0,3,7,0,2,532,192,74,12,2008,214000
338,91,7,1998,350,995,1621,1,2,0,3,8,0,2,440,108,45,5,2006,202500
339,66,6,1998,207,630,1215,0,1,0,3,6,0,1,297,0,0,6,2009,155000
340,85,8,2002,8,967,993,0,2,1,4,9,0,2,431,135,0,4,2010,202900
341,60,4,1950,8,721,841,0,1,0,2,4,0,1,294,250,0,9,2009,82000
342,0,3,1950,8,0,1040,0,2,0,2,6,0,2,400,0,0,5,2006,87500
343,63,9,2005,435,1656,1684,0,2,0,2,6,1,2,564,495,72,7,2008,266000
344,36,5,1976,208,175,536,0,1,1,3,4,0,1,336,182,0,4,2010,85000
345,65,6,1950,8,972,972,0,1,0,3,6,1,1,312,0,0,10,2006,140200
346,0,6,1998,209,460,958,0,1,0,2,5,0,1,301,0,0,4,2007,151500
347,0,6,1960,210,208,1478,1,2,0,3,6,2,2,498,0,40,12,2009,157500
348,36,7,2004,211,191,764,1,2,1,2,6,0,2,474,0,27,10,2008,154000
349,56,9,2006,544,438,1848,1,2,1,4,10,2,3,706,0,0,4,2006,437154
350,68,9,2007,8,1869,1869,0,2,0,2,6,1,2,617,210,54,12,2007,318061
351,0,7,1986,213,371,1453,1,1,1,2,6,1,2,445,0,80,12,2006,190000
352,60,5,1950,214,0,616,0,1,0,3,5,0,1,200,48,0,3,2008,95000
353,60,6,2003,8,624,720,0,1,0,2,5,0,2,484,106,0,5,2010,105900
354,60,6,2000,215,552,1192,0,1,0,2,6,2,1,240,0,0,6,2006,140000
355,105,6,1995,216,322,1200,1,2,0,3,6,0,2,521,0,26,8,2007,177500
356,0,6,1992,123,598,1167,1,2,0,3,6,0,2,400,120,26,7,2009,173000
357,44,5,1976,217,268,1142,1,1,1,3,6,1,2,528,536,90,8,2007,134000
358,92,5,1958,79,468,1352,0,1,0,3,6,0,1,288,168,0,7,2006,130000
359,78,8,1998,232,130,1086,1,2,1,3,7,1,2,592,208,75,6,2006,280000
360,0,6,1978,536,115,912,1,1,0,2,5,1,2,470,0,0,6,2007,156000
361,0,5,1982,521,484,988,1,1,0,3,8,0,1,240,0,0,7,2008,145000
362,64,7,2003,8,0,495,0,3,0,4,7,1,2,672,0,0,7,2009,198500
363,21,6,2007,221,321,483,0,1,1,2,5,0,1,264,250,0,5,2009,118000
364,0,6,1976,222,84,790,1,2,1,3,6,1,2,566,306,111,7,2006,190000
365,59,5,1997,31,216,672,0,1,0,3,6,0,1,468,0,128,7,2009,147000
366,0,6,1963,467,785,1394,1,1,1,3,6,2,2,514,0,76,7,2009,159000
367,101,6,1962,224,728,1431,0,1,0,3,6,1,1,296,64,110,12,2008,165000
368,78,5,1954,225,728,1268,0,1,0,2,7,1,1,244,0,98,3,2010,132000
369,0,5,2006,226,733,1287,1,1,0,3,7,1,2,576,364,17,3,2010,162000
370,0,6,2000,8,953,953,0,2,1,3,7,1,2,460,100,40,1,2006,172400
371,80,4,1959,8,0,1120,0,2,0,4,7,1,2,680,0,59,7,2008,134432
372,50,6,1984,227,0,752,1,1,0,2,4,0,1,264,353,0,2,2010,125000
373,79,5,1953,228,0,1319,1,1,0,3,5,0,1,270,66,0,11,2009,123000
374,65,7,2004,8,847,847,0,2,1,4,8,1,2,434,100,48,7,2007,219500
375,0,1,1950,229,333,904,1,0,1,1,4,0,0,0,0,0,3,2009,61000
376,57,5,1996,230,572,914,0,1,0,2,5,0,2,576,0,0,7,2006,148000
377,102,8,2005,8,1580,1580,0,3,0,4,8,1,2,610,159,214,12,2007,340000
378,88,9,2010,332,411,1856,1,1,1,1,8,1,3,834,113,0,6,2010,394432
379,60,6,2000,8,982,1007,0,2,1,3,7,1,2,463,100,63,6,2009,179000
380,50,5,1950,232,808,1026,0,2,0,3,6,1,1,308,0,0,5,2010,127000
381,60,7,2006,8,1293,1301,1,2,0,2,5,1,2,572,216,121,8,2006,187750
382,79,7,2006,8,939,939,0,2,1,3,8,0,2,639,144,53,4,2007,213500
383,60,6,1950,8,784,784,0,1,0,2,5,0,2,360,0,0,10,2009,76000
384,0,6,1992,233,595,1079,1,2,1,3,9,2,2,501,216,231,6,2007,240000
385,43,8,2005,55,1232,1269,0,2,0,2,6,1,2,430,146,20,4,2010,192000
386,58,5,1996,8,658,658,0,1,0,5,8,0,0,0,0,151,5,2006,81000
387,72,6,1976,234,410,1125,1,1,0,3,6,1,1,352,296,0,10,2009,125000
388,93,7,2000,8,1468,1479,0,2,0,3,6,0,2,577,120,25,7,2008,191000
389,96,10,2008,235,402,1742,1,2,1,3,9,1,3,846,196,134,8,2008,426000
390,50,5,1950,236,229,961,1,1,0,4,7,0,1,384,0,130,4,2008,119000
391,71,6,2002,237,114,804,1,2,1,3,7,1,2,560,125,192,6,2009,215000
392,0,5,1959,8,0,882,0,1,0,3,5,0,1,294,0,0,7,2007,106500
393,0,4,1950,238,522,788,0,1,0,2,4,2,0,0,0,0,4,2006,100000
394,60,5,1950,8,735,735,0,1,0,2,5,0,1,240,0,39,7,2007,109000
395,68,5,1956,43,405,1144,1,1,0,3,6,0,1,596,44,0,6,2010,129000
396,60,5,1972,384,117,894,0,1,0,2,6,0,2,600,215,0,9,2009,123000
397,69,5,1962,225,324,876,0,2,0,4,8,1,1,264,0,168,7,2007,169500
398,60,5,1950,8,961,1077,0,1,0,2,6,0,1,338,0,0,11,2007,67000
399,65,7,2007,515,280,1112,1,2,0,2,7,0,2,438,0,168,10,2009,241000
400,38,8,1996,241,474,1288,1,1,1,1,4,2,2,500,120,30,12,2008,245500
401,65,7,2005,55,1286,1310,0,2,0,3,6,1,2,400,0,0,7,2006,164990
402,60,5,1997,8,672,672,0,1,0,2,4,0,1,240,168,0,8,2008,108000
403,93,8,1998,8,1141,1165,0,2,1,4,10,1,2,420,144,123,7,2006,258000
404,0,6,1996,8,806,806,0,2,1,3,7,1,2,373,0,40,5,2007,168000
405,0,4,1993,242,165,1620,1,2,0,3,8,1,2,490,120,78,6,2009,150000
406,51,6,1950,8,1064,1166,0,1,0,3,6,0,1,240,0,0,3,2008,115000
407,63,6,1976,8,840,840,0,2,0,4,8,0,1,308,0,0,3,2008,177000
408,109,7,2006,8,1063,1071,0,2,1,3,9,1,3,947,192,62,8,2007,280000
409,85,8,2008,243,245,1050,1,2,1,3,8,1,3,836,0,102,4,2008,339750
410,68,5,1958,8,1276,1276,0,1,0,3,5,0,1,350,0,0,6,2009,60000
411,100,5,1955,244,0,1056,1,1,0,3,5,0,2,572,264,0,1,2006,145000
412,0,7,2009,14,892,1478,1,2,1,2,7,1,2,484,0,144,6,2010,222000
413,56,5,1950,8,1008,1028,0,1,0,2,5,1,2,360,0,0,3,2010,115000
414,59,7,1993,245,499,1080,0,2,1,3,9,1,3,678,196,187,12,2008,228000
415,73,7,2007,55,1316,1340,0,2,0,3,6,0,2,396,100,30,8,2007,181134
416,74,6,1978,95,463,672,0,1,1,3,6,1,2,440,0,0,3,2006,149500
417,86,6,1950,246,242,1370,1,2,1,4,10,1,3,864,0,0,11,2007,239000
418,60,5,1950,132,444,756,1,1,1,3,7,0,1,240,0,0,4,2007,126000
419,65,5,1968,261,281,1056,1,1,0,3,6,1,1,304,0,85,7,2010,142000
420,78,7,1998,589,35,1344,2,2,0,2,8,0,4,784,0,0,11,2008,206300
421,0,6,2000,432,356,1602,0,2,0,3,8,1,2,529,240,0,6,2009,215000
422,100,5,1954,8,988,988,0,1,0,2,4,0,2,520,0,0,2,2008,113000
423,80,8,1998,250,484,1470,1,2,1,4,8,1,3,696,0,66,6,2008,315000
424,72,6,1956,420,580,1196,1,1,0,2,6,1,1,297,0,44,5,2008,139000
425,60,7,1992,8,651,707,0,1,1,3,6,2,1,240,0,0,9,2009,135000
426,0,7,1989,403,0,1644,1,2,0,2,5,1,2,569,80,0,8,2009,275000
427,77,4,1957,112,619,907,0,1,0,3,5,0,1,352,0,0,7,2008,109008
428,64,7,2007,253,544,1208,1,2,0,2,6,0,2,628,105,54,9,2007,195400
429,130,6,1988,87,387,1412,1,2,0,3,6,1,2,576,0,0,3,2009,175000
430,21,6,1971,254,96,483,0,1,1,2,4,0,1,264,0,0,7,2008,85400
431,60,6,1998,8,901,1088,0,1,0,4,7,0,0,0,0,98,9,2008,79900
432,24,5,1971,255,294,765,1,1,1,2,6,0,2,440,240,36,8,2007,122500
433,100,6,1998,8,926,926,0,2,1,3,7,1,2,470,0,36,7,2008,181000
434,21,4,1972,289,135,630,1,1,0,1,3,0,0,0,88,0,6,2008,81000
435,43,7,1996,256,70,827,1,2,1,3,6,1,2,550,158,61,4,2009,212000
436,40,6,1950,8,648,734,0,1,0,2,6,0,2,440,0,0,10,2006,116000
437,50,6,2004,8,884,904,0,1,0,2,4,0,1,180,0,0,1,2009,119000
438,40,5,2002,472,75,694,0,1,0,2,4,1,1,352,0,0,3,2007,90350
439,67,6,2000,8,684,684,0,1,0,3,7,0,2,528,0,46,8,2009,110000
440,105,10,2008,258,788,2402,1,2,0,2,10,2,3,672,0,72,4,2009,555000
441,92,4,1955,606,1307,1440,0,2,0,4,8,0,0,0,0,0,9,2008,118000
442,52,5,1992,8,1078,1128,0,2,0,3,8,1,2,360,0,0,6,2008,162900
443,53,7,2007,8,1258,1258,0,2,0,2,6,1,3,648,144,16,6,2007,172500
444,70,7,1995,260,273,933,1,2,1,4,8,1,2,493,144,133,7,2008,210000
445,73,6,1956,8,1436,1689,0,1,0,3,7,1,2,480,0,0,11,2009,127500
446,137,6,2002,261,557,1888,0,2,1,2,6,1,2,578,0,0,6,2010,190000
447,0,7,1999,8,930,956,0,2,1,4,10,1,2,431,89,0,7,2006,199900
448,50,6,1950,8,780,780,0,2,0,3,7,1,1,198,0,0,6,2006,119500
449,50,3,2002,262,318,679,0,1,1,2,6,0,1,308,0,176,6,2007,120000
450,70,6,2005,8,813,813,0,1,0,2,5,0,1,270,0,113,6,2006,110000
451,62,7,1975,4,878,1533,1,2,0,2,5,2,2,576,200,54,12,2006,280000
452,0,6,1997,263,130,888,1,2,1,3,7,0,2,422,144,122,7,2007,204000
453,75,8,2008,8,768,786,0,2,1,3,6,0,2,676,0,30,6,2009,210000
454,63,5,1976,622,122,1728,2,2,0,4,8,0,2,560,0,0,7,2006,188000
455,80,7,1973,265,326,1242,0,1,1,3,6,1,2,528,0,0,9,2007,175500
456,34,5,1950,8,624,624,0,1,0,4,7,0,3,513,0,0,5,2008,98000
457,0,4,1994,242,248,1663,1,1,0,2,6,2,2,529,224,137,3,2008,256000
458,0,8,1996,8,588,833,0,1,0,3,7,1,1,228,192,63,6,2008,161000
459,0,5,1950,266,524,979,1,1,0,3,5,1,1,352,0,0,7,2009,110000
460,75,8,2009,267,288,832,1,2,1,3,8,0,2,552,0,150,12,2009,263435
461,60,7,2007,229,0,575,1,1,0,3,6,0,2,576,256,0,4,2009,155000
462,60,5,1965,268,0,864,0,1,0,3,5,1,1,360,0,0,12,2009,62383
463,74,6,1995,269,389,849,0,1,1,3,6,1,1,240,0,0,8,2008,188700
464,60,5,1978,420,424,1040,0,2,0,3,5,0,0,0,0,0,8,2009,124000
465,0,7,2004,8,1375,1414,0,2,0,2,6,1,2,398,144,20,5,2006,178740
466,85,7,1970,270,499,1277,1,1,0,2,5,1,2,526,0,0,4,2007,167000
467,79,5,1995,271,342,888,0,1,1,3,7,2,1,312,168,0,6,2007,146500
468,98,8,2006,8,1626,1634,0,2,0,3,7,1,3,866,0,44,5,2007,250000
469,76,6,1993,272,406,832,0,2,1,3,7,0,2,506,144,70,6,2008,187000
470,0,8,1985,502,0,1502,1,1,1,1,4,0,2,528,0,54,6,2010,212000
471,92,7,1977,8,808,1161,0,2,1,3,8,1,2,534,0,0,11,2007,190000
472,35,6,2005,274,88,1072,1,1,0,2,5,0,2,525,0,28,6,2008,148000
473,110,8,2007,549,626,1976,1,2,0,2,7,1,3,908,250,63,7,2007,440000
474,41,8,2000,276,298,1652,1,2,0,2,6,0,2,499,96,48,8,2007,251000
475,80,5,1963,277,340,970,1,1,0,2,5,0,2,624,0,24,7,2007,132500
476,75,6,1998,278,484,1493,1,2,0,3,7,1,2,508,140,39,4,2008,208900
477,105,9,2006,8,2153,2069,0,2,1,3,9,1,3,694,414,84,3,2007,380000
478,79,8,2008,108,417,1718,1,2,0,3,7,1,3,826,208,44,9,2009,297000
479,50,4,2000,279,739,1131,0,1,0,2,7,0,2,672,0,72,3,2007,89471
480,98,9,2005,280,572,1850,1,2,0,3,8,1,3,772,519,112,3,2006,326000
481,72,9,2004,281,225,1792,1,2,0,2,6,1,3,874,206,49,8,2006,374000
482,50,7,2005,363,611,916,1,1,1,4,7,1,1,164,0,0,6,2009,155000
483,32,6,1998,283,319,1216,1,2,0,2,5,0,2,402,0,125,5,2006,164000
484,0,5,2001,313,411,999,1,1,0,3,6,0,1,264,0,132,3,2007,132500
485,80,5,2007,471,506,1113,0,1,0,3,5,1,1,264,0,80,7,2009,147000
486,79,5,1965,459,237,1073,1,1,1,3,6,0,2,515,0,0,6,2007,156000
487,70,5,1971,11,486,1484,0,2,0,3,7,1,2,487,224,0,2,2007,175000
488,60,5,1970,253,290,1766,0,2,0,3,10,1,2,520,142,0,5,2006,160000
489,21,4,2002,286,115,630,1,1,0,1,3,0,1,286,0,0,5,2009,86000
490,0,5,1976,8,264,616,0,1,1,3,4,1,1,336,141,24,6,2008,115000
491,79,6,1950,474,238,958,1,1,0,3,5,2,1,240,0,0,8,2006,133000
492,105,6,2006,8,728,728,0,2,1,3,8,0,2,429,0,0,5,2006,172785
493,70,5,1960,287,363,1269,0,1,1,3,6,1,1,308,0,0,6,2008,155000
494,50,5,1996,8,190,886,0,1,0,2,4,0,1,273,144,20,12,2009,91300
495,60,4,1950,289,225,720,0,1,0,2,4,0,0,0,0,523,11,2009,34900
496,0,8,1993,288,1969,3228,1,3,0,4,10,1,2,546,264,75,5,2007,430000
497,60,7,1950,153,697,1133,1,2,0,4,8,0,1,240,0,100,6,2008,184000
498,65,5,2004,550,414,899,0,1,0,3,5,0,1,288,64,0,6,2009,130000
499,70,5,1985,289,522,912,0,1,0,2,5,0,1,297,12,285,6,2007,120000
500,21,6,1973,327,316,672,0,1,1,3,7,0,1,264,144,28,5,2007,113000
501,75,7,2005,291,466,866,0,2,1,3,7,0,2,603,0,108,2,2008,226700
502,70,5,1965,292,420,1214,1,1,0,2,6,0,2,461,0,0,4,2007,140000
503,100,7,1997,293,254,1801,1,2,0,1,6,2,2,484,0,54,3,2010,289000
504,24,6,1974,472,103,855,0,2,1,3,6,1,2,440,260,0,6,2009,147000
505,60,5,1952,8,960,960,0,2,0,4,10,0,2,400,0,0,7,2009,124500
506,80,8,1994,295,397,1065,0,2,1,3,8,1,2,471,182,81,9,2006,215000
507,75,6,2009,551,1191,1218,0,2,0,2,4,0,2,676,0,102,9,2009,208300
508,60,7,2005,297,548,689,0,2,0,3,7,1,2,360,0,0,10,2008,161000
509,80,5,1959,298,50,1041,1,1,0,3,6,0,1,270,224,88,7,2009,124500
510,75,5,2000,299,178,1363,1,1,0,2,6,2,1,288,324,42,6,2009,164900
511,40,7,2006,8,1368,1368,0,2,0,2,6,1,2,474,132,35,3,2006,202665
512,70,5,1958,300,169,864,1,1,0,3,5,0,2,624,0,0,7,2006,129900
513,71,6,1983,52,748,1080,0,1,1,3,5,0,2,484,120,0,6,2007,134000
514,55,5,1950,8,768,789,0,1,0,2,5,0,1,200,0,0,6,2007,96500
515,94,10,2009,468,570,2020,1,2,1,3,9,1,3,900,156,54,9,2009,402861
516,0,6,1972,8,689,1378,0,2,1,3,7,1,2,583,0,104,8,2009,158000
517,79,7,1997,8,1264,1277,0,2,1,3,7,1,3,889,220,0,7,2009,265000
518,0,6,1998,8,88,882,1,2,1,3,7,0,2,546,0,36,5,2007,211000
519,53,7,2004,8,1276,1276,0,1,1,3,9,2,1,282,0,0,6,2009,234000
520,60,4,2000,8,0,694,0,2,0,3,7,0,0,0,220,114,8,2008,106250
521,90,6,1957,384,467,1244,0,1,1,3,6,2,1,336,0,40,5,2007,150000
522,50,6,1950,521,605,1004,0,2,0,3,7,2,2,420,0,24,10,2006,159000
523,130,10,2008,302,878,3138,1,3,1,3,11,1,3,884,208,406,10,2007,184750
524,95,7,1997,303,660,1383,1,2,1,3,8,1,3,834,239,60,8,2007,315750
525,62,7,2005,8,1257,1266,0,2,0,3,6,1,2,453,38,144,4,2006,176000
526,70,5,2000,304,551,928,0,1,0,2,4,0,1,252,261,0,6,2007,132000
527,67,9,2008,305,122,1476,1,2,1,3,11,1,3,858,126,66,11,2008,446261
528,58,4,2002,446,180,605,1,1,0,2,5,0,0,0,0,0,7,2007,86000
529,0,6,1975,307,816,2515,1,3,0,4,9,2,2,484,0,0,3,2007,200624
530,85,6,1989,320,678,1509,1,2,0,3,5,1,2,600,224,0,8,2008,175000
531,60,6,1999,8,611,751,0,2,0,3,6,0,2,502,0,0,6,2008,128000
532,60,5,2007,8,0,827,0,1,0,2,5,1,1,392,0,0,4,2010,107500
533,50,1,1950,8,0,334,0,1,0,1,2,0,0,0,0,0,1,2007,39300
534,74,8,2004,8,707,707,0,2,1,3,6,1,2,403,100,35,10,2006,178000
535,70,5,1991,614,148,820,1,1,0,3,5,0,0,0,85,0,1,2008,107500
536,57,7,1999,8,880,880,0,2,1,3,8,0,2,527,120,155,7,2008,188000
537,0,4,1972,102,264,864,0,1,0,3,5,0,2,576,216,0,4,2008,111250
538,0,5,1968,310,378,1159,0,1,1,3,7,1,1,336,466,0,7,2006,158000
539,0,8,2002,379,223,1601,1,2,0,3,6,1,2,670,180,0,5,2010,272000
540,85,9,2006,312,578,1838,1,2,0,2,8,1,3,765,270,68,3,2009,315000
541,0,8,2000,8,969,997,0,2,1,4,8,1,3,648,0,56,6,2007,248000
542,78,7,1999,313,379,1680,1,2,0,3,7,1,2,583,78,73,6,2009,213250
543,34,7,1998,314,0,767,1,1,0,1,4,0,1,367,120,40,6,2007,133000
544,58,7,2006,611,100,664,1,2,1,3,7,1,2,426,100,24,9,2006,179665
545,0,7,1988,316,0,1377,0,2,1,4,9,0,3,786,0,0,2,2006,229000
546,70,6,1950,79,765,915,0,1,1,3,6,1,2,440,0,38,5,2007,210000
547,54,5,1970,508,149,768,1,1,0,2,5,0,2,624,104,0,4,2007,129500
548,49,5,1995,318,0,825,1,1,0,2,4,0,2,720,140,50,6,2008,125000
549,75,7,2004,8,912,912,0,2,1,4,8,1,2,615,182,182,11,2009,263000
550,53,6,1977,630,510,1069,0,2,0,2,4,0,2,440,0,55,10,2008,140000
551,50,5,1957,320,620,928,0,1,0,3,5,0,1,288,0,0,6,2008,112500
552,87,8,2006,8,1709,1717,0,2,0,3,7,1,3,908,169,39,7,2009,255500
553,67,4,2003,8,0,1126,0,2,0,2,5,0,2,520,0,96,5,2009,108000
554,85,7,2004,321,132,1006,1,2,1,3,8,1,3,871,320,62,8,2008,284000
555,58,5,1950,8,993,1048,0,1,0,2,5,1,1,280,0,0,8,2006,113000
556,69,5,1957,462,197,1092,1,1,0,2,6,1,1,299,268,0,5,2006,141000
557,60,4,1950,323,0,897,0,1,1,3,7,0,1,570,0,47,9,2006,108000
558,57,7,1997,504,125,729,0,2,1,3,6,1,2,406,264,22,8,2008,175000
559,0,7,2004,8,1374,1557,0,2,0,2,7,1,2,420,143,20,10,2006,234000
560,0,5,1996,325,90,1392,1,1,1,3,5,1,2,528,0,0,5,2010,121500
561,77,5,1975,326,195,1389,1,1,0,2,6,1,2,418,240,38,4,2006,170000
562,63,5,1969,327,706,996,1,1,0,3,6,1,0,0,144,0,7,2008,108000
563,66,6,1950,8,1163,1163,0,2,0,4,8,1,2,396,72,36,7,2008,185000
564,0,7,2000,336,367,1166,1,2,1,4,9,1,2,590,0,40,7,2006,268000
565,66,6,1950,8,806,841,1,1,1,4,6,0,1,216,0,66,5,2010,128000
566,77,9,2007,8,1122,1134,0,2,1,4,11,1,3,656,144,39,6,2008,325000
567,70,7,2004,329,1515,1535,0,2,0,3,7,0,2,532,0,0,3,2010,214000
568,79,8,2009,438,55,1496,1,1,1,1,5,1,2,612,349,40,9,2009,316600
569,0,5,1979,331,0,943,1,1,0,2,4,2,2,600,42,0,12,2006,135960
570,74,5,1965,332,1497,1728,0,2,0,6,10,0,2,576,0,0,11,2008,142600
571,60,6,1959,333,450,864,1,1,0,2,4,0,1,288,168,0,10,2006,120000
572,83,7,2009,8,846,846,0,2,1,3,6,0,2,650,208,114,7,2009,224500
573,76,7,2000,8,384,774,0,2,1,3,8,1,2,400,100,0,12,2007,170000
574,70,5,2005,334,23,576,0,1,0,3,5,0,1,288,35,0,12,2007,139000
575,80,5,1950,335,390,832,0,1,0,2,6,0,1,336,158,0,10,2008,118500
576,52,7,1950,8,861,877,0,2,0,3,6,1,1,216,0,50,8,2009,145000
577,96,5,1966,336,285,1320,1,1,0,3,6,2,2,564,160,68,5,2006,164500
578,34,7,2007,8,689,703,0,2,0,2,5,0,2,540,0,102,2,2008,146000
579,81,5,1954,8,1050,1050,0,2,0,4,7,0,1,352,0,0,11,2008,131500
580,0,6,1987,337,331,1429,0,1,0,3,7,2,2,572,216,110,6,2007,181900
581,98,8,2009,8,2042,2042,0,2,1,3,8,1,3,1390,0,90,8,2009,253293
582,81,6,1990,437,0,816,1,1,0,3,5,0,0,0,0,32,5,2007,118500
583,75,10,2000,8,1237,1521,0,3,1,3,9,1,2,880,105,502,7,2008,325000
584,51,4,1995,8,884,989,0,1,0,3,6,0,1,240,0,0,7,2009,133000
